省级行政区,地级行政区,景点名称,评分,地址,评语,价格,销量,经度,纬度,交通
北京市,北京市,故宫博物院,1,北京市东城区景山前街4号,世界五大宫之首，穿越与您近在咫尺,60,"24,711",116.40,39.92,8.20
北京市,北京市,天坛公园,0.80,北京市东城区天坛内东里7号,探寻古代皇帝祭天仪式的奥秘,20,"4,296",116.42,39.89,6.70
北京市,北京市,颐和园,0.82,北京市海淀区新建宫门路19号,保存完整的一座皇家行宫御苑,39.80,"10,820",116.28,40.00,26.50
北京市,北京市,圆明园景区,0.76,北京市海淀区清华西路28号,追忆昔日万园之园,46,"6,967",116.30,40.03,22.60
北京市,北京市,八达岭-慕田峪长城,0.70,北京市怀柔区慕田峪村,电影《非诚勿扰》取景地,40,"4,742",115.98,40.37,80.20
北京市,北京市,明十三陵景区,0.72,北京市昌平区十三陵特区,气势磅礴的陵寝建筑群,43.70,"2,640",116.23,40.26,59.80
北京市,北京市,恭王府景区,0.74,北京市西城区什刹海前海西街17号,一起去看看和珅家,40,"5,182",116.39,39.94,10.10
北京市,北京市,奥林匹克公园,0.74,北京市朝阳区天辰东路11号,感受2008北京奥运的辉煌,30,96,116.40,40.01,21.30
天津市,天津市,天津古文化街旅游区（津门故里）,0.12,天津市南开区,在古代是祭祀海神和船工聚会娱乐之场所,2,34,117.20,39.15,4.60
天津市,天津市,天津盘山风景名胜区,0.80,天津市蓟县官庄镇北15公里处,早知有盘山，何必下江南,75,"1,598",122.00,41.25,121.50
河北省,秦皇岛市,山海关景区,0.72,河北省秦皇岛市山海关古城北3公里处,山体巨大嵯峨，恰似龙角，环境清幽,36,"3,189",119.77,40.02,17.50
河北省,保定市,安新白洋淀景区,0.98,河北省保定市安新县,小兵张嘎的家乡，荷花和芦苇丛中的北国江南,88,944,116.00,38.94,48.20
河北省,保定市,野三坡景区,1,河北省保定市涞水县三坡镇,北方的小桂林,65,"1,012",115.39,39.67,137.20
河北省,保定市,白石山景区,0.69,广西壮族自治区梧州市藤县象棋镇道家村,理想的观光、娱乐、休闲、疗养场所,105,58,114.71,39.22,122.70
河北省,保定市,清西陵景区,0.86,河北省保定市易县县城西15公里处的永宁山下,是一处典型的清代古建筑群,99,508,115.35,39.35,92.30
河北省,承德市,承德避暑山庄及周围寺庙景区,1,河北省承德市双桥区丽正门大街20号,古代帝王宫苑，清代皇帝避暑处理政务地,50,"2,303",118.18,40.77,2.50
河北省,承德市,金山岭长城景区,0.45,江苏省镇江市金山路62号,金山有“神话山”之称，名胜古迹众多,780,16,117.25,40.71,89.50
河北省,石家庄市,西柏坡景区,0.74,河北省石家庄市平山县西柏坡村,新中国从这里走来,0.90,6,113.95,38.35,87
河北省,唐山市,清东陵景区,1,河北省唐山市遵化市西北30公里处,众多清朝帝王和皇后的宏伟陵墓建筑群,133,884,117.69,40.18,88.10
河北省,邯郸市,娲皇宫景区,1,河北省邯郸市涉县索堡镇,"女娲氏""炼石补天，抟土造人""的地方",59.80,434,113.62,36.64,96
河北省,邯郸市,广府古城景区,0.86,河北省邯郸市永年县广府镇,太极拳之乡，北国小江南,70,166,114.74,36.71,30.10
山西省,大同市,云冈石窟,1,山西省大同市城西约16公里的武州山南麓,石头写成的千年史卷,120,"2,417",113.14,40.12,17.40
山西省,忻州市,五台山风景名胜区,1,山西省忻州市五台县台怀镇,兼有汉地和藏传佛教的佛教道场,50,"1,514",113.60,38.98,123.70
山西省,忻州市,雁门关景区,0.72,山西省忻州代县雁门关景区（二广高速新广武出口8公里）,与宁武关、偏关合称为“外三关”,45,"2,493",112.89,39.19,107
山西省,晋城市,皇城相府生态文化旅游区,1,山西省晋城市阳城县北留镇皇城村,大美皇城，传统中国年,115,"1,524",112.59,35.52,33.40
山西省,晋中市,介休绵山景区,0.76,山西省晋中市介休城东南20公里处新地村,佛教禅林——中国清明文化的发源地,110,778,112.00,36.90,151.30
山西省,晋中市,平遥古城景区,1,山西省晋中市平遥县,游览原汁原味古城，感受浓郁的晋商文化气息,238,"4,062",112.19,37.21,101.70
山西省,临汾市,洪洞大槐树寻根祭祖园景区,1,山西省临汾市洪洞县古槐北路公园街002号,问我祖先在何处，山西洪洞大槐树,70,"1,450",111.68,36.28,30.10
山西省,临汾市,云丘山景区,0,河北省迁安市大五里乡王家湾子村西,常年云雾飘渺，山峰时隐时现，犹如人间仙境,35,30,111.03,35.76,104.70
山西省,临汾市,黄河壶口瀑布旅游区,0.88,山西省临汾市吉县壶口镇黄河壶口瀑布国家地质公园内,一年四季，欣赏不同时期瀑布恢宏,85,"2,679",111.53,36.09,135.30
山西省,长治市,壶关太行山大峡谷八泉峡景区,1,山西省壶关县桥上乡,奇峰涧壑，林海悬崖，四时之景，巧夺天工,90,"2,400",113.58,35.92,77.60
内蒙古自治区,鄂尔多斯市,响沙湾旅游景区,0.84,内蒙古鄂尔多斯市达拉特旗响沙湾景区,跟随骆驼队，踏上一段神秘之旅,119.70,982,109.96,40.25,89.70
内蒙古自治区,鄂尔多斯市,成吉思汗陵旅游区,1,内蒙古省鄂尔多斯市伊金霍洛旗伊金霍洛镇,真实再现成吉思汗率军出征实景的大型军阵,0.80,46,109.82,39.37,24.30
内蒙古自治区,呼伦贝尔市,中俄边境旅游区,0.73,内蒙古省呼伦贝尔市满洲里市华埔大街23号,俄罗斯风情文化精粹,5,65,117.37,49.64,226.60
内蒙古自治区,兴安盟,阿尔山·柴河旅游景区,1,内蒙古兴安盟阿尔山市林海街,奇岩怪石姿态万千，堪称火山地质博物馆,225,"2,255",120.30,46.97,168.50
内蒙古自治区,赤峰市,哈斯哈图石阵旅游区,0.90,内蒙古赤峰市克什克腾旗北大山上,山峰相叠，景色迷人，“冰石林”惟妙惟肖,135,348,118.90,42.26,311.40
内蒙古自治区,阿拉善盟,胡杨林旅游区,0.86,和田地区民丰县,具有重要的生态和经济意义,0,0,101.09,41.97,11.50
辽宁省,沈阳市,沈阳市植物园,0.80,沈阳市东部风景秀丽的棋盘山旅游中心地带,充满异域风情的世博园,50,355,123.65,41.86,26.60
辽宁省,大连市,大连老虎滩海洋公园.老虎滩极地馆,0.90,辽宁省大连市中山区滨海中路9号,一揽湾区山海，遍赏极地海洋,50,"4,417",121.68,38.88,8.10
辽宁省,大连市,金石滩景区,0.92,辽宁省大连市金州区丹枫路金石滩国家旅游度假区,凝固的动物世界，天然的地质博物馆,70,954,122.02,39.10,59.60
辽宁省,本溪市,本溪水洞景区,1,辽宁省本溪市本溪满族自治县谢家崴子村,石奇，松秀，大气磅礴的“北国小黄山”,132,"4,592",124.07,41.31,36.60
辽宁省,鞍山市,千山景区,0.33,浙江省丽水市遂昌县石练镇黄皮村,江南小九寨,60,126,123.12,41.09,19.90
辽宁省,盘锦市,红海滩风景廊道景区,0.82,辽宁省盘锦市东郭苇场孙家流子分场南行6公里处,特色的生态元素和自然景观,499,61,121.85,40.91,46.80
吉林省,长春市,伪满皇宫博物院,0.92,吉林省长春市宽城区光复北路5号,伪满洲国傀儡皇帝爱新觉罗·溥仪的宫殿,67,944,125.36,43.91,2.40
吉林省,长春市,净月潭景区,1,吉林省长春市净月经济开发区净月大街5840号,禅，净，修，净月潭，北普陀寺,27,614,125.48,43.79,24.90
吉林省,长春市,长影世纪城旅游区,0.86,吉林省长春市净月开发区长双公路,北方冬天玩出狂拽酷炫,120,"5,824",125.30,43.87,25
吉林省,长春市,长春世界雕塑公园旅游景区,0.76,吉林省长春市南关区人民大街9518号,园内林园与碧水甚美，是难得的雕塑园,48,172,125.33,43.83,9.70
吉林省,白山市,长白山景区,0.86,吉林省延边州安图县二道白河镇,领略美人松的飘逸，地下长林的浩荡,103,"3,736",127.91,41.62,187.90
吉林省,延边朝鲜族自治州,六鼎山文化旅游区,0.45,吉林省延边州敦化市吉林敦化六鼎山文化旅游区,文化圣境 ，度假天堂,100,306,128.25,43.33,138.30
吉林省,通化市,高句丽文物古迹旅游景区,0.21,吉林省通化集安市集青公路与将军路交汇处,高句丽王陵墓葬，被列入世界文化遗产名录,99,56,126.17,41.17,103.10
黑龙江省,哈尔滨市,太阳岛景区,0.92,黑龙江省哈尔滨市松北区太阳岛风景区,位于城市中心的江漫滩湿地草原型风景名胜区,0.70,18,126.57,45.81,12.60
黑龙江省,黑河市,五大连池景区,1,黑龙江省黑河市五大连池风景区,天然的旅游资源，打开的火山教课书,1.40,8,126.17,48.70,243.30
黑龙江省,牡丹江市,镜泊湖景区,0.90,黑龙江省牡丹江市宁安市火山口旅游公路,湖光山色，原始森林，熔岩隧道的绝妙景观,50,"2,697",128.96,44.07,95.90
黑龙江省,伊春市,汤旺河林海奇石景区,0,黑龙江省伊春市汤旺河区境内,具有极高科研和科普价值的地质现象,75,78,129.46,48.47,121.60
黑龙江省,大兴安岭地区,北极村旅游区,1,黑龙江省大兴安岭地区漠河县西林吉镇十三区北极村,奇幻北极光，就可以在这里看到,68,2,122.37,53.49,535.10
黑龙江省,鸡西市,虎头旅游景区,0.90,位于风景区乌苏里江畔的虎头山顶,天下第一虎,45,198,133.67,45.99,241.10
上海市,上海市,上海东方明珠广播电视塔,0.76,上海市浦东新区世纪大道1号,感受云端漫步，品味老上海风情,88,"5,535",121.51,31.25,8
上海市,上海市,上海野生动物园,0.72,上海市浦东新区南六公路178号,与野生动物近距离的“亲密接触”,118,"7,312",121.73,31.06,45.10
上海市,上海市,上海科技馆,0.74,上海市浦东新区世纪大道2000号(近二号线上海科技馆站),技术改变生活，只有想不到没有做不到,51,"3,657",121.55,31.22,11.20
上海市,上海市,中国共产党一大·二大·四大纪念馆景区,1.00,上海市静安区老成都北路7弄30号,上海市级文物保护单位,0,"8,931",121.49,31.26,4.80
江苏省,南京市,钟山风景名胜区-中山陵园风景区,1,江苏省南京市玄武区石象路7号,建筑名家之杰作，有着极高的艺术价值,25.60,"2,783",118.86,32.07,9.60
江苏省,南京市,夫子庙—秦淮风光带景区,0.88,江苏省南京市秦淮区龙蟠中路夫子庙,一条长江路，半部民国史,25,"1,254",118.80,32.03,9.10
江苏省,无锡市,中央电视台无锡影视基地三国水浒景区,0.78,江苏省无锡市滨湖区山水东路25号,东方好莱坞，还可以偶遇明星哦,85,192,120.24,31.48,21.30
江苏省,无锡市,灵山大佛景区,0.70,北京市门头沟区清水镇西北,凉风习习，心惬意,80,28,120.10,31.44,41.80
江苏省,无锡市,鼋头渚景区,0.94,江苏省无锡市滨湖区鼋头渚1号,太湖佳绝处，毕竟在鼋头,85,"3,050",120.23,31.53,17.80
江苏省,无锡市,惠山古镇景区,0.11,江苏无锡北塘区听松坊53-1号,京杭大运河孕育的古镇,62,184,120.28,31.59,6.90
江苏省,苏州市,苏州园林（拙政园、虎丘山、留园）,0.78,江苏省苏州金阊区阊门外留园路338号,苏州园林中代表清朝艺术风格的私家园林,27.50,"2,541",120.64,31.33,49.80
江苏省,苏州市,周庄古镇景区,0.90,江苏省苏州市昆山周庄全福路43号,古香古色，品美食寻才子觅佳人,88,"1,852",120.86,31.12,98.90
江苏省,苏州市,吴江同里古镇风景区,0.80,江苏省苏州市吴江市同里镇,世界同里，东方小威尼斯,35,"2,919",120.73,31.16,72.90
江苏省,苏州市,金鸡湖景区,0.01,江苏省苏州市吴中区苏州工业园区,古城东部的这片湖水，是苏州的另一张脸,45,332,120.71,31.31,57.60
江苏省,苏州市,吴中太湖旅游区,0.92,苏州市吴中区孙武路2013号,环太湖大道，湖光山色，适合自驾、骑行，美不胜收,324,"1,781",120.45,31.22,61.10
江苏省,苏州市,沙家浜•虞山尚湖旅游区,0.72,江苏省苏州常熟尚湖风景区,临山孕湖，与古城浑然一体，含山川之秀,23,604,120.69,31.65,41.80
江苏省,扬州市,瘦西湖风景区,1,江苏省扬州市维扬区长春路118号,湖上园林的典型代表,95,"3,850",119.43,32.41,10.20
江苏省,镇江市,金山·焦山·北固山旅游景区,1,江苏省镇江市东吴路3号,游人寻访三国遗迹的向往之地,34.90,502,119.46,32.22,4.90
江苏省,镇江市,句容茅山景区,0.84,江苏省镇江市句容市茅山风景区,道家福地，“第八洞天”,78,"1,894",119.31,31.79,60.80
江苏省,常州市,环球恐龙城景区,0.74,常州市新北区环球恐龙城河海东路60号,以恐龙为主题的综合性游乐园,99,"5,669",120.01,31.83,6.50
江苏省,常州市,天目湖景区,0.20,重庆市丰都县仙女湖镇,南天湖景区位于重庆市丰都县境内，北距县城43公里，交通便捷。毗邻世界文化遗产武隆仙女山、涪陵大裂谷景区，与丰都名山景区、,55,148,119.45,31.32,107.80
江苏省,常州市,中国春秋淹城旅游区,0,江苏省常州市武进区武宜南路197号,五大功能区带您畅游春秋文化主题梦幻乐园,20,802,119.93,31.71,20.80
江苏省,南通市,濠河景区,1,江苏省南通市崇川区濠西路19号,形如葫芦，宛如珠链，南通城的“翡翠项链”,28,114,120.87,32.02,5.50
江苏省,泰州市,溱湖旅游景区,1,江苏省泰州市姜堰市溱潼镇,溱湖观赏湿地公园，品尝美味溱湖簖蟹,29.80,906,120.09,32.62,21.10
江苏省,淮安市,周恩来故里旅游景区,1,江苏省淮安市淮安区,优秀爱国主义教育基地,15,315,119.16,33.52,22.10
江苏省,盐城市,大丰中华麋鹿园景区,0.74,江苏省盐城市大丰市麋鹿保护区,看麋鹿不用去奈良，咱家门口也有,45,348,120.82,32.99,93.30
江苏省,徐州市,云龙湖景区,0.86,江苏省徐州市泉山区泉新路1号,临湖而立，三面青山，叠翠连绵，烟波浩渺,178,16,117.16,34.24,8.60
江苏省,连云港市,花果山景区,0.82,北京市房山区世界地质公园七渡花果山风景区,自然环境优美宜人，野生猕猴在此栖息,14,65,119.28,34.65,17.50
江苏省,宿迁市,洪泽湖湿地景区,0.43,江苏省宿迁市泗洪县城头乡泗洪洪泽湖湿地景区（票务中心）,淡水湿地景区,46,448,118.34,33.27,86.10
浙江省,杭州市,西湖风景名胜区,1,浙江省杭州市西湖区龙井路1号,在这里邂逅你的白娘子吧,7.50,"4,446",120.13,30.23,5.20
浙江省,杭州市,西溪湿地旅游区,0.49,浙江省杭州市余杭区五常街道五常大道龙舌嘴主出入口,生态湿地、城市水乡、洪昇故里,39.80,"1,058",120.16,30.28,15.60
浙江省,杭州市,千岛湖风景区,0.78,浙江省杭州市淳安县梦姑路,亲近大自然，放飞心情,40,"2,571",119.06,29.55,165.20
浙江省,温州市,雁荡山风景名胜区,1,浙江省温州乐清市雁荡镇雁山路88号,中国十大名山之一，风景秀美无双,15,786,121.04,28.38,81.50
浙江省,温州市,刘伯温故里景区,0.53,浙江省温州市文成县南田,一漈百丈高、二漈百丈深、三漈百丈宽,54.90,762,119.94,27.85,113.30
浙江省,舟山市,普陀山风景名胜区,1,浙江省舟山市普陀区,海天佛国 观音道场 ——普陀山,75,"2,231",122.40,30.01,113.50
浙江省,宁波市,溪口滕头旅游区,0.74,浙江省宁波奉化市武岭西路77号溪口风景区内,蒋经国留苏回奉，偕妻方良、子孝文居此,198.50,268,121.29,29.70,30.40
浙江省,宁波市,天一阁·月湖景区,0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,588,18,121.55,29.87,1.70
浙江省,嘉兴市,桐乡乌镇古镇旅游区,1,浙江省嘉兴市桐乡市乌镇石佛南路18号,鱼米之乡，丝绸之府,110,"2,006",120.50,30.75,32.90
浙江省,嘉兴市,南湖旅游区,0.76,湖南省岳阳市南津古渡(氮肥厂对面),省级自然风景保护区和旅游度假区,100,71,120.77,30.76,2.90
浙江省,嘉兴市,西塘古镇旅游景区,0.84,浙江省嘉兴市嘉善县西塘镇,水墨西塘让你感受古镇千年的诗情画意,85,990,120.90,30.95,29.30
浙江省,金华市,横店影视城景区,1,浙江省金华东阳市横店镇横店影视城,被誉为“中国好莱坞”,110,"13,312",120.32,29.14,91
浙江省,绍兴市,鲁迅故里•沈园景区,1,浙江省绍兴市绍兴县越城区鲁迅中路241号,一代文豪诞生地，现今的文化历史街区,104,538,120.60,30.00,3.60
浙江省,衢州市,开化根宫佛国文化旅游景区,0.56,浙江衢州市开化县城关根博路1号,展示根艺的独特魅力，根艺美术的四库全书,0.50,54,118.40,29.14,67.20
浙江省,衢州市,江郎山·廿八都景区,0.88,浙江省衢州市江山市石门镇江郎乡,雄奇冠天下，秀丽甲东南,78,624,118.49,28.30,65.10
浙江省,湖州市,南浔古镇景区,0.40,浙江省湖州市南浔区南浔镇人瑞路51号,水乡古镇九十九，不如南浔走一走,80,"2,283",120.44,30.87,52.90
浙江省,台州市,天台山景区,0.86,浙江省台州市天台县,霞客三上天台上，李白为之挥笔墨,15,138,121.04,29.16,89.80
